Name,ProductPrice,ProductStyle,Fabric,Brand,FabricType,Silhouette,Season,Pattern,WashCase,ColorGroup,TotalSales,FirstMonthSale,SecondMonthSale
Pleated cotton poplin full skirt,44.95,Skirt,Cotton Poplin,eshakti,KNITS,,,,MACHINE WASH,Navy,3,9,3
Pleated cotton poplin full skirt,69.95,Skirt,Cotton Poplin,eshakti,KNITS,,,,MACHINE WASH,Red,5,6,5
Floral embroidery illusion tulle and dupioni dress,139.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,3,11,3
Asymmetric hem cotton jersey shift dress,69.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Shift,,,MACHINE WASH,Black,1,0,1
Obi belt cotton jersey wrap tunic,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,1,9,1
Obi belt cotton jersey wrap tunic,74.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,4,4,4
Contrast trim cotton jersey romper,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Red,2,0,2
Asymmetric neck cotton jersey jumpsuit,89.95,Jumpsuit,Cotton Jersey Knit,eshakti,KNITS,,Fall Winter,,MACHINE WASH,Red,1,2,1
Contrast trim cotton jersey romper,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Navy,2,1,2
Contrast trim cotton jersey romper,42.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,,,MACHINE WASH,Black,3,6,3
Large button pocket cotton jersey dress,54.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Red,1,3,1
Large button pocket cotton jersey dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Green,1,2,1
