productid,Name,ProductPrice,ProductStyle,Fabric,Brand,FabricType,Silhouette,Season,Pattern,WashCase,ColorGroup,TotalSales,FirstMonthSale,SecondMonthSale,ThirdMonthSale
CL0089903,Pleated cotton poplin full skirt,44.95,Skirt,Cotton Poplin,eshakti,KNITS,,,,MACHINE WASH,Navy,40,18,11,11
CL0090046,Pleated cotton poplin full skirt,34.95,Skirt,Cotton Poplin,eshakti,KNITS,,Year-Round,,MACHINE WASH,Red,37,16,17,4
CL0097661,Pleated cotton poplin full skirt,69.95,Skirt,Cotton Poplin,eshakti,KNITS,,,,MACHINE WASH,Red,4,0,0,4
CL0086829,Floral vine print cotton voile tunic,39.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Pink,9,6,2,1
CL0086869,Off-the-shoulder floral vine print cotton voile dr,59.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Pink,12,12,0,0
CL0087517,Floral embroidery illusion tulle and dupioni dress,139.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,92,36,39,17
CL0096473,Geo hand block print cotton full skirt,52.95,Skirt,100% Cotton,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Beige,3,3,0,0
CL0087498,Asymmetric hem cotton jersey shift dress,84.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Shift,,,MACHINE WASH,Navy,4,2,1,1
CL0087583,Asymmetric hem cotton jersey shift dress,69.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Shift,,,MACHINE WASH,Black,5,3,2,0
CL0089361,Obi belt cotton jersey wrap tunic,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,47,15,18,14
CL0089362,Obi belt cotton jersey wrap tunic,74.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,17,6,3,8
